Mėnuo,Mėnesinė Įmoka,Pagrindinė Dalis,Palūkanų Dalis,Likusi Suma
1,93.17,69.64,23.53,4930.36
2,93.17,69.97,23.21,4860.40
3,93.17,70.30,22.88,4790.10
4,93.17,70.63,22.55,4719.47
5,93.17,70.96,22.21,4648.52
6,93.17,71.29,21.88,4577.22
7,93.17,71.63,21.54,4505.59
8,93.17,71.97,21.21,4433.63
9,93.17,72.30,20.87,4361.33
10,93.17,72.64,20.53,4288.68
11,93.17,72.99,20.19,4215.70
12,93.17,73.33,19.84,4142.37
13,93.17,73.67,19.50,4068.69
14,93.17,74.02,19.15,3994.67
15,93.17,74.37,18.80,3920.30
16,93.17,74.72,18.45,3845.58
17,93.17,75.07,18.10,3770.51
18,93.17,75.43,17.75,3695.08
19,93.17,75.78,17.39,3619.30
20,93.17,76.14,17.03,3543.17
21,93.17,76.50,16.68,3466.67
22,93.17,76.86,16.32,3389.81
23,93.17,77.22,15.95,3312.60
24,93.17,77.58,15.59,3235.02
25,93.17,77.95,15.23,3157.07
26,93.17,78.31,14.86,3078.76
27,93.17,78.68,14.49,3000.08
28,93.17,79.05,14.12,2921.03
29,93.17,79.42,13.75,2841.60
30,93.17,79.80,13.37,2761.81
31,93.17,80.17,13.00,2681.63
32,93.17,80.55,12.62,2601.08
33,93.17,80.93,12.24,2520.16
34,93.17,81.31,11.86,2438.85
35,93.17,81.69,11.48,2357.15
36,93.17,82.08,11.09,2275.08
37,93.17,82.46,10.71,2192.61
38,93.17,82.85,10.32,2109.76
39,93.17,83.24,9.93,2026.52
40,93.17,83.63,9.54,1942.89
41,93.17,84.03,9.14,1858.86
42,93.17,84.42,8.75,1774.44
43,93.17,84.82,8.35,1689.62
44,93.17,85.22,7.95,1604.40
45,93.17,85.62,7.55,1518.78
46,93.17,86.02,7.15,1432.75
47,93.17,86.43,6.74,1346.32
48,93.17,86.83,6.34,1259.49
49,93.17,87.24,5.93,1172.25
50,93.17,87.65,5.52,1084.59
51,93.17,88.07,5.10,996.53
52,93.17,88.48,4.69,908.04
53,93.17,88.90,4.27,819.15
54,93.17,89.32,3.86,729.83
55,93.17,89.74,3.44,640.09
56,93.17,90.16,3.01,549.93
57,93.17,90.58,2.59,459.35
58,93.17,91.01,2.16,368.34
59,93.17,91.44,1.73,276.90
60,93.17,91.87,1.30,185.04
61,93.17,92.30,.87,92.74
62,93.17,92.74,.44,.00
